,Experience Level,Country or Area,Education level,Qualification level,Statutory salary,Measure,Unit of measure,Statutory time,Actual Salary per Hour
532,No Experience,England,Primary education,Maximum qualification at this stage of career,56534.431,Total statutory working time,Hours per year,1265.0,44.69124980237154
533,No Experience,England,Primary education,Minimum qualification at this stage of career,34731.956,Total statutory working time,Hours per year,1265.0,27.45609169960474
534,No Experience,England,Primary education,Most prevalent qualification at this stage of career,34731.956,Total statutory working time,Hours per year,1265.0,27.45609169960474
535,15 years of Experience,England,Primary education,Minimum qualification at this stage of career,55726.257,Total statutory working time,Hours per year,1265.0,44.05237707509881
536,15 years of Experience,England,Primary education,Most prevalent qualification at this stage of career,55726.257,Total statutory working time,Hours per year,1265.0,44.05237707509881
537,Maximum Experience,England,Primary education,Maximum qualification at this stage of career,85243.474,Total statutory working time,Hours per year,1265.0,67.38614545454546
538,Maximum Experience,England,Primary education,Minimum qualification at this stage of career,55726.257,Total statutory working time,Hours per year,1265.0,44.05237707509881
539,Maximum Experience,England,Primary education,Most prevalent qualification at this stage of career,55726.257,Total statutory working time,Hours per year,1265.0,44.05237707509881
540,No Experience,England,Upper secondary general education,Maximum qualification at this stage of career,56534.431,Total statutory working time,Hours per year,1265.0,44.69124980237154
541,No Experience,England,Upper secondary general education,Minimum qualification at this stage of career,34731.956,Total statutory working time,Hours per year,1265.0,27.45609169960474
542,No Experience,England,Upper secondary general education,Most prevalent qualification at this stage of career,34731.956,Total statutory working time,Hours per year,1265.0,27.45609169960474
543,15 years of Experience,England,Upper secondary general education,Minimum qualification at this stage of career,55726.257,Total statutory working time,Hours per year,1265.0,44.05237707509881
544,15 years of Experience,England,Upper secondary general education,Most prevalent qualification at this stage of career,55726.257,Total statutory working time,Hours per year,1265.0,44.05237707509881
545,Maximum Experience,England,Upper secondary general education,Maximum qualification at this stage of career,85243.474,Total statutory working time,Hours per year,1265.0,67.38614545454546
546,Maximum Experience,England,Upper secondary general education,Minimum qualification at this stage of career,55726.257,Total statutory working time,Hours per year,1265.0,44.05237707509881
547,Maximum Experience,England,Upper secondary general education,Most prevalent qualification at this stage of career,55726.257,Total statutory working time,Hours per year,1265.0,44.05237707509881
548,No Experience,Estonia,Lower secondary general education,Maximum qualification at this stage of career,26031.078,Statutory teaching time,Hours per year,609.0,42.74397044334975
549,No Experience,Estonia,Lower secondary general education,Maximum qualification at this stage of career,26031.078,Total statutory working time,Hours per year,1540.0,16.903297402597403
550,No Experience,Estonia,Lower secondary general education,Minimum qualification at this stage of career,26031.078,Statutory teaching time,Hours per year,609.0,42.74397044334975
551,No Experience,Estonia,Lower secondary general education,Minimum qualification at this stage of career,26031.078,Total statutory working time,Hours per year,1540.0,16.903297402597403
552,No Experience,Estonia,Lower secondary general education,Most prevalent qualification at this stage of career,26031.078,Statutory teaching time,Hours per year,609.0,42.74397044334975
553,No Experience,Estonia,Lower secondary general education,Most prevalent qualification at this stage of career,26031.078,Total statutory working time,Hours per year,1540.0,16.903297402597403
554,No Experience,Estonia,Primary education,Maximum qualification at this stage of career,26031.078,Statutory teaching time,Hours per year,591.6,44.00114604462475
555,No Experience,Estonia,Primary education,Maximum qualification at this stage of career,26031.078,Total statutory working time,Hours per year,1540.0,16.903297402597403
556,No Experience,Estonia,Primary education,Minimum qualification at this stage of career,26031.078,Statutory teaching time,Hours per year,591.6,44.00114604462475
557,No Experience,Estonia,Primary education,Minimum qualification at this stage of career,26031.078,Total statutory working time,Hours per year,1540.0,16.903297402597403
558,No Experience,Estonia,Primary education,Most prevalent qualification at this stage of career,26031.078,Statutory teaching time,Hours per year,591.6,44.00114604462475
559,No Experience,Estonia,Primary education,Most prevalent qualification at this stage of career,26031.078,Total statutory working time,Hours per year,1540.0,16.903297402597403
560,No Experience,Estonia,Upper secondary general education,Maximum qualification at this stage of career,26031.078,Statutory teaching time,Hours per year,574.2,45.33451410658307
561,No Experience,Estonia,Upper secondary general education,Maximum qualification at this stage of career,26031.078,Total statutory working time,Hours per year,1540.0,16.903297402597403
562,No Experience,Estonia,Upper secondary general education,Minimum qualification at this stage of career,26031.078,Statutory teaching time,Hours per year,574.2,45.33451410658307
563,No Experience,Estonia,Upper secondary general education,Minimum qualification at this stage of career,26031.078,Total statutory working time,Hours per year,1540.0,16.903297402597403
564,No Experience,Estonia,Upper secondary general education,Most prevalent qualification at this stage of career,26031.078,Statutory teaching time,Hours per year,574.2,45.33451410658307
565,No Experience,Estonia,Upper secondary general education,Most prevalent qualification at this stage of career,26031.078,Total statutory working time,Hours per year,1540.0,16.903297402597403
566,No Experience,Finland,Lower secondary general education,Maximum qualification at this stage of career,40182.392,Statutory teaching time,Hours per year,595.35,67.4937297388091
567,No Experience,Finland,Lower secondary general education,Maximum qualification at this stage of career,40182.392,Statutory working time required at school,Hours per year,733.4,54.78919007362967
568,No Experience,Finland,Lower secondary general education,Minimum qualification at this stage of career,40182.392,Statutory teaching time,Hours per year,595.35,67.4937297388091
569,No Experience,Finland,Lower secondary general education,Minimum qualification at this stage of career,40182.392,Statutory working time required at school,Hours per year,733.4,54.78919007362967
570,No Experience,Finland,Lower secondary general education,Most prevalent qualification at this stage of career,40182.392,Statutory teaching time,Hours per year,595.35,67.4937297388091
571,No Experience,Finland,Lower secondary general education,Most prevalent qualification at this stage of career,40182.392,Statutory working time required at school,Hours per year,733.4,54.78919007362967
